# x [m], y [m], z [m]
1.35037, 0.124193, 0.00432785
1.32864, 0.124504, 0.00444846
1.25, 0.125, 0.00494716
1.30691, 0.12474, 0.0041982
1.27174, 0.124961, 0.00424622
1.25, 0.125, 0.00494716
1.17136, 0.124504, 0.00444846
1.22826, 0.124961, 0.00424622
1.19309, 0.12474, 0.00419819
1.17136, 0.124504, 0.00444846
1.09273, 0.123022, 0.0041908
1.14963, 0.124193, 0.00432785
1.11446, 0.12353, 0.00423661
1.09273, 0.123022, 0.0041908
1.01413, 0.120551, 0.00417747
1.071, 0.122438, 0.0043768
1.03585, 0.121333, 0.00409328
1.01413, 0.120551, 0.00417747
0.935563, 0.117093, 0.00406255
0.992409, 0.119694, 0.00435138
0.957273, 0.118148, 0.00397193
0.935563, 0.117093, 0.00406255
0.857046, 0.112648, 0.00392651
0.913856, 0.115963, 0.00431037
0.878742, 0.113975, 0.00381031
0.857046, 0.112648, 0.00392651
0.778592, 0.107217, 0.00374305
0.835355, 0.111246, 0.00423894
0.800269, 0.108817, 0.00361192
0.778592, 0.107217, 0.00374305
0.700212, 0.100807, 0.00351633
0.756921, 0.105543, 0.00412808
0.721868, 0.102676, 0.00336779
0.700212, 0.100807, 0.00351633
0.621917, 0.0934292, 0.00324452
0.678563, 0.098864, 0.00398006
0.643548, 0.0955644, 0.00307908
0.621917, 0.0934292, 0.00324452
0.543717, 0.0850969, 0.00293227
0.600293, 0.0912211, 0.00379177
0.565321, 0.0874945, 0.00274329
0.543717, 0.0850969, 0.00293227
0.465625, 0.0758151, 0.0025786
0.522122, 0.082627, 0.00356899
0.487198, 0.0784764, 0.00236408
0.465625, 0.0758151, 0.0025786
0.387654, 0.0655645, 0.00210512
0.444062, 0.0730799, 0.0032875
0.409192, 0.0684961, 0.0018798
0.387654, 0.0655645, 0.00210512
0.309821, 0.0543171, 0.00140128
0.366127, 0.0625567, 0.00285859
0.331319, 0.0575273, 0.0011837
0.309821, 0.0543171, 0.00140128
0.232142, 0.0420458, 0.000151595
0.288335, 0.0510283, 0.00212658
0.253596, 0.0455393, 3.59355e-05
0.232142, 0.0420458, 0.000151595
0.154622, 0.0288083, -0.0021354
0.210701, 0.0384781, 0.000698014
0.176033, 0.0325561, -0.00198223
0.154622, 0.0288083, -0.0021354
0.077248, 0.0147428, -0.00662012
0.133223, 0.0249972, -0.00196171
0.0986201, 0.0187047, -0.00589211
0.077248, 0.0147428, -0.00662012
0, 0, -0.031153
0.0558856, 0.0107291, -0.00856549
0.0213396, 0.00413365, -0.0187031
