time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
1.4750	34.9963	0.0001	0.0000	0.0000	0.0416	0.0397	-0.0025	-0.0374	0.1205	-0.0405	-0.7093	-1.0653	-0.1235	-0.8200	-0.0608	0.0337	-0.1333
1.5000	34.9963	0.0001	0.0000	0.0000	0.0017	-0.0182	0.0022	0.0378	-0.0345	-0.2617	1.4494	0.2222	0.1784	-0.4850	0.1742	-0.4328	-0.1706
1.5250	34.9963	0.0001	0.0000	0.0000	0.0685	0.0206	-0.0084	0.0274	0.1096	0.3948	-0.6321	-0.9611	0.4893	-0.7569	-0.6777	-0.1029	0.3470
1.5500	34.9963	0.0001	0.0000	0.0000	-0.0088	0.0627	-0.0080	-0.1336	0.1160	0.3341	-1.0968	0.1259	-0.5497	-0.0868	-0.6141	0.3589	0.1558
1.5750	34.9963	0.0001	0.0000	0.0000	0.0119	0.0069	-0.0153	-0.0018	0.0257	0.2450	0.6893	0.9051	0.7112	-0.1839	0.1595	0.7076	-0.4504
1.6000	34.9963	0.0001	0.0000	0.0000	-0.0137	-0.0214	0.0057	0.0288	-0.0563	0.2628	0.0893	-0.8673	0.9776	-0.0771	0.3015	-0.0935	-0.2779
1.6250	34.9963	0.0001	0.0000	0.0000	0.0152	-0.0213	-0.0015	0.0576	-0.0273	0.3662	-0.0268	-1.0100	-0.7184	0.7968	0.6099	0.5191	-0.0774
1.6500	34.9963	0.0001	0.0000	0.0000	-0.0162	-0.0179	-0.0059	0.0195	-0.0519	0.3769	0.2786	1.5678	-0.4875	-0.3879	0.5707	-0.0322	0.0019
1.6750	34.9963	0.0001	0.0000	0.0000	-0.0392	0.0235	-0.0153	-0.0859	0.0075	0.0987	-1.0602	-0.1752	-0.6029	0.5395	0.3064	-0.0040	-0.0168
1.7000	34.9963	0.0001	0.0000	0.0000	-0.0431	0.0373	0.0134	-0.1174	0.0312	0.2236	0.6198	0.9772	-0.1235	0.7483	-0.5308	0.0621	0.3236
1.7250	34.9963	0.0001	0.0000	0.0000	0.0459	-0.0076	0.0047	0.0611	0.0308	-0.1297	0.1493	-1.0610	0.0186	-0.6306	0.1497	-0.6542	-0.0354
1.7500	34.9963	0.0001	0.0000	0.0000	-0.0753	-0.0467	0.0046	0.0176	-0.1681	-0.2010	0.8780	0.0517	-0.2034	0.2433	-0.5847	-0.1076	0.3563
1.7750	34.9963	0.0001	0.0000	0.0000	0.0314	-0.0151	0.0068	0.0615	0.0013	0.1807	-0.4327	0.3319	0.9066	-0.0189	0.0273	0.7642	0.2117
1.8000	34.9963	0.0001	0.0000	0.0000	-0.0081	-0.0334	0.0045	0.0584	-0.0746	0.1843	-1.1964	-0.1128	0.8711	-0.2325	0.2721	0.1657	0.1931
1.8250	34.9963	0.0001	0.0000	0.0000	-0.0393	0.0780	0.0039	-0.1944	0.1158	0.2628	-1.3276	-1.0293	1.4749	-0.0868	0.2868	-0.5600	-0.0541
1.8500	34.9963	0.0001	0.0000	0.0000	0.0081	0.0074	-0.0102	-0.0067	0.0229	-0.2259	-0.9013	-1.7608	0.6135	0.1074	-0.4232	0.0715	0.0019
1.8750	34.9963	0.0001	0.0000	0.0000	-0.0236	-0.0267	-0.0055	0.0295	-0.0766	0.1486	-0.3467	-1.0729	-0.6651	-0.2180	0.0664	0.3400	0.0066
1.9000	34.9963	0.0001	0.0000	0.0000	0.0600	-0.0131	-0.0054	0.0861	0.0338	-0.0904	0.4027	1.4655	1.5015	0.6415	0.5659	-0.2867	-0.1706
1.9250	34.9963	0.0001	0.0000	0.0000	0.0117	-0.0362	0.0052	0.0838	-0.0604	-0.3258	0.3477	0.6805	0.3916	0.8260	-0.2321	-0.0558	-0.2872
1.9500	34.9963	0.0001	0.0000	0.0000	0.0253	0.0674	0.0048	-0.1089	0.1595	-0.1832	-0.4247	-1.1499	1.3860	0.1171	-0.1245	-0.3338	0.2770
1.9750	34.9963	0.0001	0.0000	0.0000	-0.0294	0.0151	-0.0038	-0.0593	0.0006	0.0880	1.3289	0.2156	0.4360	0.3550	-0.1391	-0.6684	-0.3152
2.0000	34.9963	0.0001	0.0000	0.0000	0.0006	0.0212	-0.0067	-0.0416	0.0428	-0.3365	-0.8398	-0.3511	-0.1235	-0.3102	-0.0510	-0.1594	0.2444
2.0250	34.9963	0.0001	0.0000	0.0000	0.0217	-0.0598	0.0059	0.1408	-0.0973	-0.1046	-1.1887	0.0634	-1.3488	-0.6889	-0.0657	0.5898	-0.0354
2.0500	34.9963	0.0001	0.0000	0.0000	-0.0052	-0.0232	-0.0093	0.0410	-0.0515	0.1272	0.5980	1.2366	0.2584	0.0880	0.2819	0.2835	0.2957
2.0750	34.9963	0.0001	0.0000	0.0000	-0.0331	-0.0145	0.0201	-0.0041	-0.0620	0.2842	0.0131	-0.9987	0.6135	-0.0140	-0.0363	-0.1171	0.0578
2.1000	34.9963	0.0001	0.0000	0.0000	0.0192	-0.0559	0.0012	0.1305	-0.0921	0.1487	0.5161	0.4533	-0.6207	0.0977	0.0664	-0.2725	0.5055
2.1250	34.9963	0.0001	0.0000	0.0000	0.0006	-0.0264	0.0159	0.0531	-0.0519	0.1237	-1.1205	0.4399	-1.4464	-0.0383	0.3112	0.6086	0.2770
2.1500	34.9963	0.0001	0.0000	0.0000	-0.0247	0.0363	-0.0100	-0.0971	0.0476	0.1165	0.3834	0.4067	1.1197	-0.3344	-0.5162	0.7642	0.1325
2.1750	34.9963	0.0001	0.0000	0.0000	0.0442	0.0635	-0.0049	-0.0823	0.1706	0.0345	1.2385	0.5198	0.2139	0.8308	0.2428	-0.2302	-0.1193
2.2000	34.9963	0.0001	0.0000	0.0000	-0.0094	-0.0082	0.0100	0.0069	-0.0257	-0.1296	-0.1777	-0.9061	-2.0414	0.6997	0.1007	-0.7296	0.2537
2.2250	34.9963	0.0001	0.0000	0.0000	0.0516	0.0307	-0.0005	-0.0095	0.1127	-0.2866	0.5058	1.5954	0.0542	-0.3005	-0.4378	-0.4611	0.2071
2.2500	34.9963	0.0001	0.0000	0.0000	-0.0053	-0.0087	0.0127	0.0119	-0.0225	-0.3009	0.6615	0.9340	0.7112	0.2287	-0.1245	-0.0087	-0.2639
2.2750	34.9963	0.0001	0.0000	0.0000	0.0425	-0.0177	0.0108	0.0776	0.0073	-0.2723	-0.1101	-0.9236	1.1818	-0.5384	0.5071	-0.0416	-0.1333
