time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
1.0250	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.9534	-0.0290	0.7914	-0.8956	-1.0111	-0.0000	-0.0489	-0.2398	0.0453	-0.0041	-0.0162	-0.2329	1.0454	-0.5088	-0.1026	-0.9238	0.1221
1.0500	9.9980	0.0001	0.0000	0.0000	-0.0000	1.0815	0.4255	-0.5241	0.2347	1.9283	-0.0000	0.0560	-0.7073	0.0667	-0.0236	-0.0219	0.2522	1.2940	-0.2660	0.2842	0.1553	0.0848
1.0750	9.9980	0.0001	0.0000	0.0000	-0.0000	1.3422	-0.7348	-0.9136	2.8044	-0.1200	-0.0000	0.0601	-0.3788	-0.1196	0.0166	0.0157	0.0396	-0.0202	0.3021	-0.8370	0.3061	-0.4561
1.1000	9.9980	0.0001	0.0000	0.0000	-0.0000	0.6205	-0.8697	0.1237	2.3511	-1.1102	0.0079	0.0338	-1.4274	-0.0952	-0.0171	-0.0407	0.1105	-0.3665	0.4526	0.3821	0.8668	0.0195
1.1250	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.6979	0.5496	-0.2181	-1.7916	0.3957	-0.0012	0.0152	0.2656	-0.0326	0.0036	0.0306	0.3394	0.6991	0.3458	-0.5236	0.6501	0.7703
1.1500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.0988	-0.3895	0.9703	0.6763	-0.8739	-0.0049	-0.0192	1.2258	0.0667	0.0267	-0.0312	0.2631	-0.5352	0.3021	-0.6313	0.1600	-0.5867
1.1750	9.9980	0.0001	0.0000	0.0000	-0.0000	0.2641	-0.0484	-0.3413	0.3605	0.1677	0.0036	-0.0285	1.1500	0.0056	-0.0246	-0.0401	0.2358	0.6813	-0.3680	0.2206	0.0988	0.3413
1.2000	9.9980	0.0001	0.0000	0.0000	-0.0000	0.3198	-0.2972	0.2986	0.9112	-0.2717	0.0122	-0.0472	0.3919	0.0728	0.0053	-0.0302	0.5301	1.0720	-0.3097	0.2793	-0.7966	0.4252
1.2250	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.5935	0.8760	-0.4207	-1.1498	2.3368	-0.0006	-0.0606	-0.5177	0.0820	0.0134	-0.0296	0.4157	0.7967	0.8507	0.4947	-0.0709	1.0594
1.2500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4333	0.8908	0.7358	-2.2059	1.3393	0.0055	0.0169	-1.1368	-0.0051	-0.0113	-0.0245	0.3394	-0.4997	0.5788	-0.2935	0.0799	0.5837
1.2750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.1667	0.3903	-0.1266	-0.6101	0.9435	-0.0067	0.0746	-0.6314	-0.1258	0.0173	-0.0210	0.4702	-1.8138	-0.6933	0.2646	-0.1793	0.1687
1.3000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.3822	-1.0435	0.5848	2.4588	-1.6944	0.0122	0.0298	1.2132	-0.0479	0.0179	-0.0235	-0.2929	1.6580	-0.3534	0.2695	1.2391	-0.3535
1.3250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.8429	-0.4949	-0.2777	0.1420	-1.8278	-0.0098	0.0292	0.8847	-0.0127	-0.0230	-0.0092	0.1868	-0.3132	0.4866	0.0688	0.1082	-0.9224
1.3500	9.9979	0.0001	0.0000	0.0040	-0.0000	0.5355	0.1502	0.1396	0.2366	0.8345	-0.0079	0.0379	0.6952	-0.0509	-0.0204	-0.0105	-0.5545	0.4060	-0.6981	0.2450	0.3061	0.8262
1.3750	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.6068	0.2352	1.1571	-1.0748	-0.1388	0.0012	-0.0175	0.1519	-0.0799	0.0348	0.0150	-0.5654	0.8234	0.5303	-0.2103	-1.0981	-0.5494
1.4000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1317	0.2821	-0.3452	-0.6931	0.4298	-0.0012	-0.0460	0.1898	0.0484	-0.0126	-0.0184	-0.4836	-0.3043	-0.5428	0.7885	0.3909	0.6630
1.4250	9.9979	0.0001	0.0000	0.0040	-0.0000	0.6284	-0.5825	0.4218	1.7875	-0.5307	-0.0061	-0.0501	-1.2126	-0.0081	-0.0337	-0.0108	-0.3256	0.7523	-0.4651	0.3870	0.5134	0.3366
1.4500	9.9980	0.0001	0.0000	-0.0040	-0.0000	-1.8095	-0.4306	-0.2777	-0.9526	-2.6663	-0.0250	-0.0524	-0.5935	-0.0448	0.0364	-0.0092	-0.4182	-0.4553	-0.1932	-0.1075	0.2260	-0.7126
1.4750	9.9979	0.0001	0.0000	0.0040	-0.0000	1.8288	-1.1265	0.5331	4.0705	-0.4130	0.0043	0.0024	0.9605	0.0224	0.0202	0.0080	-0.2602	2.0221	0.5254	-0.5187	-0.4243	0.5045
1.5000	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.4818	-0.9069	-0.9891	1.3229	-2.2866	0.0122	0.0507	1.0994	-0.1334	-0.0320	-0.0156	-0.3147	-1.4320	-0.0572	0.0688	0.0139	0.9428
1.5250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4180	0.0676	-0.2061	-0.5526	-0.2834	0.0067	0.0105	0.6320	0.0973	0.0302	0.0163	-0.1893	1.1430	-0.0184	-0.4649	0.1930	0.0848
1.5500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.8187	-0.1219	0.9226	-0.5762	-1.0612	-0.0055	0.0076	-0.6062	0.0224	-0.0067	-0.0038	-0.1948	-0.6417	0.2390	-0.0879	0.4804	0.5651
1.5750	9.9980	0.0001	0.0000	0.0000	-0.0000	1.9506	0.5648	0.0125	0.8267	3.0745	-0.0116	0.0263	-0.3914	0.0423	-0.0372	-0.0095	-0.1839	-1.4142	-0.0863	0.4115	0.6171	-0.4888
1.6000	9.9980	0.0001	0.0000	0.0000	-0.0000	-1.2252	0.1454	0.1913	-1.5146	-0.9359	0.0103	0.0076	-0.9726	0.0866	0.0264	-0.0111	-0.1512	1.3561	0.2584	-0.0634	0.2731	-0.0738
1.6250	9.9980	0.0001	0.0000	0.0000	-0.0000	0.4297	-0.5054	0.4059	1.4354	-0.5760	-0.0195	-0.0361	-0.8841	0.0300	-0.0155	0.0217	0.3775	-1.2366	-0.0572	0.2499	0.4710	0.1687
1.6500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.5650	-0.0397	0.0800	0.6441	0.4860	-0.0122	-0.0379	1.0994	0.0407	-0.0184	0.0128	0.0178	0.2640	-0.4311	0.0345	-0.2641	0.5837
1.6750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.1095	0.4628	0.7398	-0.8115	1.0304	-0.0037	0.0047	0.7583	0.0453	0.0283	0.0214	0.1432	-0.5263	0.1953	-0.2641	-0.1274	-0.5587
1.7000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.2640	-0.7539	-0.3810	1.7644	-1.2363	0.0140	-0.0245	0.4930	0.0300	-0.0136	0.0246	0.2086	-0.1356	0.0108	-1.0524	-0.2876	0.0428
1.7250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.0101	-0.4416	0.1595	0.8889	-0.8687	-0.0043	0.0193	-0.7704	0.0652	-0.0372	-0.0025	0.0614	0.7967	-0.2174	0.2597	0.2495	-0.6007
1.7500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.1301	0.6937	0.5490	-1.5105	1.2503	-0.0262	0.0618	-0.9347	0.1064	0.0212	0.0243	0.3830	0.6014	-0.2514	-0.6069	-0.1604	0.8355
1.7750	9.9980	0.0001	0.0000	0.0000	-0.0000	0.6128	-0.8108	-0.7705	2.2264	-1.0007	0.0012	0.0198	-1.1115	-0.1212	-0.0168	-0.0146	0.1977	-0.2954	0.1321	0.3381	0.1365	-1.0670
1.8000	9.9980	0.0001	0.0000	0.0000	-0.0000	0.0825	0.6731	-0.0869	-1.2570	1.4220	-0.0000	0.0443	1.2132	-0.0906	-0.0447	0.0243	0.1922	0.1308	0.3846	0.3332	-0.5657	-0.1763
1.8250	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.4706	-0.5112	-0.3055	0.5467	-1.4879	-0.0000	-0.0402	1.3269	0.0484	0.0280	-0.0366	0.4266	-0.0202	0.1079	-0.1809	-0.5610	0.1221
1.8500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.4238	0.4308	-0.2419	-0.4335	1.2810	-0.0073	-0.0198	0.9605	0.0178	0.0082	0.0182	0.5301	0.1663	0.5643	0.4458	0.7962	-1.1696
