time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
5.6000	0.0030	0.0000	0.0000	0.0000	-0.0186	0.0187	-0.0334	-0.0559	0.0186	-0.0755	-1.2107	-0.6916	1.2581	0.0283	-0.0838	0.7184
5.6500	0.0030	0.0000	0.0000	0.0000	-0.0058	0.0419	-0.0296	-0.0891	0.0775	0.1956	-0.7838	-1.0290	-0.0916	0.6013	-0.3972	-0.2193
5.7000	0.0030	0.0000	0.0000	0.0000	-0.0313	0.0122	0.0239	-0.0556	-0.0071	-0.1683	0.6286	0.9271	1.3025	0.2469	-0.2698	0.2944
5.7500	0.0030	0.0000	0.0000	0.0000	0.0058	0.0344	0.0277	-0.0626	0.0742	0.0422	0.9477	1.0172	-1.3081	0.0964	0.2882	-0.1438
5.8000	0.0030	0.0000	0.0000	0.0000	0.0183	0.0267	0.0310	-0.0348	0.0714	-0.1183	0.5075	0.5264	0.1837	-0.1852	0.0728	-0.2287
5.8500	0.0030	0.0000	0.0000	0.0000	-0.0681	-0.0195	-0.0405	-0.0292	-0.1070	0.0636	-0.9285	-1.1158	-0.3757	-0.3989	0.4597	-0.6574
5.9000	0.0030	0.0000	0.0000	0.0000	-0.0180	-0.0136	0.0299	0.0090	-0.0451	-0.0969	-1.1061	-0.1949	1.2136	0.2517	0.2981	-0.2522
5.9500	0.0030	0.0000	0.0000	0.0000	-0.0012	0.0084	0.0168	-0.0180	0.0156	-0.2467	-0.8127	-1.7884	-0.0650	-0.2436	-0.0838	-0.1156
6.0000	0.0030	0.0000	0.0000	0.0000	-0.0576	-0.0016	0.0414	-0.0543	-0.0608	0.0030	0.0041	1.1537	-1.0062	-0.2144	0.2149	-0.1438
6.0500	0.0030	0.0000	0.0000	0.0000	-0.0635	0.0181	-0.0613	-0.0995	-0.0274	-0.3609	0.7530	0.4034	-0.5444	0.4314	-0.2797	0.2662
6.1000	0.0030	0.0000	0.0000	0.0000	-0.0463	0.0457	-0.0307	-0.1372	0.0446	-0.6963	0.5314	1.0279	-0.0738	0.3586	-0.0202	0.0022
6.1500	0.0030	0.0000	0.0000	0.0000	-0.0145	0.0803	0.0212	-0.1742	0.1453	-0.3038	0.1073	-0.3744	-0.0206	-0.3795	0.4155	-0.7752
