time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
54.0500	28.3829	-0.0001	0.0000	0.8720	6.6992	-0.7947	0.4047	8.2806	5.1178	5.0189	-5.5349	-0.5754	-0.7842	-0.3843	1.0030	-6.6749
54.1000	28.4265	-0.0001	0.0000	0.8740	6.5931	-0.8224	0.2757	8.2296	4.9566	-12.2300	-5.6058	-0.8702	-0.3669	0.3343	1.1891	-5.3744
54.1500	28.4702	-0.0001	0.0000	0.8720	6.6164	-0.8485	-0.0564	8.3050	4.9279	-17.4136	1.2511	-0.0605	-1.6366	-0.3746	0.5527	-5.7938
54.2000	28.5138	-0.0001	0.0000	0.8700	6.6128	-0.7849	-0.4890	8.1748	5.0508	4.3125	4.6939	-2.3677	-1.1749	-0.1513	-0.3140	-6.4724
54.2500	28.5573	-0.0001	0.0000	0.8720	6.6321	-0.8644	-0.1203	8.3523	4.9119	7.7302	-1.4128	-0.6662	-0.4468	-0.2580	-0.2160	-5.0257
54.3000	28.6009	-0.0001	0.0000	0.8700	6.6891	-0.8038	0.1943	8.2887	5.0896	-12.0266	-6.5321	-2.0935	0.7785	-0.4377	-1.6995	-3.6544
54.3500	28.6444	-0.0001	0.0000	0.8700	6.5718	-0.8323	0.1151	8.2282	4.9155	-16.1935	-2.0677	0.9076	0.2192	-0.1901	-1.1707	-2.9806
54.4000	28.6879	-0.0001	0.0000	0.8740	6.5824	-0.8652	-0.1066	8.3042	4.8606	2.5359	5.1171	0.2985	0.7342	-0.3066	-0.4608	-4.3990
54.4500	28.7316	-0.0001	0.0000	0.8720	6.6095	-0.8123	-0.0859	8.2261	4.9930	3.3065	6.3964	-1.0808	-2.8620	-0.7631	1.0716	-6.9153
54.5000	28.7752	-0.0001	0.0000	0.8700	6.6683	-0.8162	0.0911	8.2925	5.0440	-13.7533	0.1733	0.8993	-1.0062	-0.4038	2.8880	-6.3546
54.5500	28.8187	-0.0001	0.0000	0.8720	6.7008	-0.8231	0.1097	8.3387	5.0629	-16.0508	-5.8354	-1.2373	-1.0240	0.2372	2.6580	-5.7325
54.6000	28.8623	-0.0001	0.0000	0.8740	6.5861	-0.8257	-0.0919	8.2293	4.9430	-0.5071	-1.9620	-0.2808	-0.3047	0.0818	1.9920	-6.0012
54.6500	28.9060	-0.0001	0.0000	0.8720	6.6497	-0.8691	-0.3410	8.3792	4.9202	2.4003	3.8158	-1.7729	0.7253	0.1109	-0.6860	-6.4535
54.7000	28.9496	-0.0001	0.0000	0.8740	6.6649	-0.7978	-0.1487	8.2525	5.0774	-12.0766	4.1749	0.8017	0.7519	-0.3843	-2.4241	-6.2321
54.7500	28.9933	-0.0001	0.0000	0.8720	6.6100	-0.7472	0.1222	8.0970	5.1230	-12.1443	-1.9833	-0.8639	0.5389	-0.1610	-2.9234	-6.7975
54.8000	29.0369	-0.0001	0.0000	0.8720	6.6634	-0.8404	0.2949	8.3358	4.9910	1.9508	-5.5860	-0.6539	-0.4645	-0.2921	-1.6946	-7.0048
54.8500	29.0805	-0.0001	0.0000	0.8700	6.6280	-0.8594	0.0108	8.3382	4.9177	2.9141	-0.9507	-0.4349	-1.6189	0.2954	0.1023	-6.2415
54.9000	29.1240	-0.0001	0.0000	0.8720	6.6460	-0.7721	-0.2443	8.1825	5.1096	-9.0157	4.4404	-1.9996	-1.2193	0.0770	2.2809	-6.2273
54.9500	29.1676	-0.0001	0.0000	0.8720	6.7031	-0.8334	-0.0859	8.3615	5.0446	-12.5725	2.2263	-0.7560	-0.0117	-0.5106	3.1867	-6.6137
55.0000	29.2112	-0.0001	0.0000	0.8720	6.6789	-0.8041	0.1386	8.2791	5.0787	-3.5681	-4.6309	-1.1444	-1.6277	-0.5785	2.5453	-7.4619
55.0500	29.2548	-0.0001	0.0000	0.8700	6.5616	-0.8277	0.0616	8.2087	4.9146	-1.1779	-5.4037	-0.8956	1.3202	-0.6562	1.4927	-6.4912
55.1000	29.2983	-0.0001	0.0000	0.8720	6.7032	-0.7875	-0.1340	8.2703	5.1361	-10.8101	2.3433	-0.6406	-0.1448	0.1498	-0.8084	-7.3488
55.1500	29.3419	-0.0001	0.0000	0.8720	6.7023	-0.8228	-0.1290	8.3397	5.0648	-13.0399	2.5959	-0.9814	0.1215	-0.0978	-3.1389	-5.9775
55.2000	29.3855	-0.0001	0.0000	0.8740	6.6523	-0.8156	0.0867	8.2753	5.0293	-5.3233	-1.1431	-1.9457	-1.8941	-0.0542	-1.5721	-6.6891
55.2500	29.4292	-0.0001	0.0000	0.8720	6.5902	-0.8499	0.1146	8.2814	4.8989	-2.9331	-4.1973	0.3795	0.8941	-0.5785	-0.5783	-5.8786
55.3000	29.4728	-0.0001	0.0000	0.8740	6.6133	-0.8245	0.0425	8.2541	4.9724	-5.4695	-1.1882	-0.5570	1.0539	0.6547	1.4241	-6.1943
55.3500	29.5165	-0.0001	0.0000	0.8720	6.6831	-0.7691	-0.1831	8.2137	5.1526	-10.1252	2.1369	0.7575	1.4268	-0.5251	1.7571	-5.8550
55.4000	29.5601	-0.0001	0.0000	0.8700	6.6747	-0.8187	-0.1503	8.3039	5.0456	-1.0173	2.5454	-0.6659	-0.5799	-0.1319	2.3152	-6.8964
55.4500	29.6036	-0.0001	0.0000	0.8700	6.6819	-0.8050	-0.0111	8.2838	5.0800	1.7296	-1.7155	0.8055	-0.1626	-0.2290	1.5955	-6.6797
55.5000	29.6471	-0.0001	0.0000	0.8720	6.6291	-0.8339	0.1293	8.2886	4.9695	-5.6051	-3.1949	-0.7389	1.0450	0.5188	0.2785	-7.4949
55.5500	29.6907	-0.0001	0.0000	0.8720	6.6894	-0.8331	0.0665	8.3473	5.0316	-9.5258	-1.0795	0.2249	-1.3169	0.5236	-0.6468	-7.7965
55.6000	29.7343	-0.0001	0.0000	0.8640	6.6095	-0.8466	-0.0706	8.2943	4.9247	-4.0497	0.8918	-0.9772	0.3967	-0.0930	-0.6714	-5.9964
55.6500	29.7775	-0.0001	0.0000	0.8780	6.7253	-0.8052	-0.1509	8.3276	5.1230	-2.0269	0.4627	-1.4007	0.4323	-0.0153	-1.0189	-6.7127
55.7000	29.8214	-0.0001	0.0000	0.8720	6.6834	-0.7851	0.0255	8.2458	5.1210	-9.0335	-1.9120	1.4828	-0.8996	-0.5785	-0.1671	-6.5855
55.7500	29.8650	-0.0001	0.0000	0.8720	6.5940	-0.8748	0.0993	8.3349	4.8531	-9.6399	-3.2580	-2.5155	-0.7753	-0.1464	0.7632	-4.1728
55.8000	29.9086	-0.0001	0.0000	0.8740	6.5956	-0.8085	-0.1061	8.2045	4.9866	-5.7907	0.5459	0.1709	0.0771	-0.2144	0.3568	-3.8806
55.8500	29.9523	-0.0001	0.0000	0.8720	6.6491	-0.8560	-0.1334	8.3526	4.9456	-4.2530	-0.1010	-2.6317	-0.8108	-0.1319	-0.0642	-3.1879
55.9000	29.9959	-0.0001	0.0000	0.8680	6.6847	-0.8034	0.0447	8.2836	5.0859	-7.8384	0.2147	1.2774	-0.7398	-0.4571	-0.3482	-3.2020
55.9500	30.0393	-0.0001	0.0000	0.8780	6.6604	-0.8025	0.1048	8.2573	5.0635	-7.6350	-1.7295	-1.6534	-1.5745	0.5091	0.8171	-3.3576
56.0000	30.0832	-0.0001	0.0000	0.8720	6.6102	-0.8639	0.0042	8.3294	4.8911	-0.5107	-0.2376	0.7466	-0.1538	-0.1998	0.4939	-2.8392
56.0500	30.1268	-0.0001	0.0000	0.8720	6.6586	-0.8821	-0.0405	8.4140	4.9032	0.8343	2.9951	-0.0535	-0.0561	-0.3261	0.8562	-2.9995
56.1000	30.1704	-0.0001	0.0000	0.8700	6.6028	-0.8367	-0.1034	8.2678	4.9378	-6.8073	2.1493	0.3763	-0.6954	0.2129	0.9737	-3.1455
56.1500	30.2139	-0.0001	0.0000	0.8720	6.6643	-0.7973	-0.0214	8.2510	5.0776	-7.7670	0.9673	-1.2399	-0.3136	0.4896	-0.4069	-5.6100
56.2000	30.2575	-0.0001	0.0000	0.8700	6.7068	-0.8213	0.0687	8.3412	5.0724	-0.0148	-1.6718	0.2865	0.6365	-0.4523	-2.1989	-7.1792
56.2500	30.3010	-0.0001	0.0000	0.8720	6.5980	-0.8323	0.0288	8.2543	4.9417	-2.4514	-0.2136	-1.6466	-1.0328	-0.2047	-1.1364	-6.0388
56.3000	30.3446	-0.0001	0.0000	0.8720	6.7182	-0.8300	-0.0236	8.3699	5.0664	-10.5426	0.3008	-1.7854	-1.2548	-0.2144	-1.0875	-6.5336
56.3500	30.3882	-0.0001	0.0000	0.8720	6.7048	-0.8601	-0.0050	8.4163	4.9932	-10.9171	0.6632	-0.1350	0.7875	-0.4038	0.2491	-6.9106
56.4000	30.4318	-0.0001	0.0000	0.8660	6.6370	-0.7813	-0.0427	8.1918	5.0822	-3.3112	-1.6456	-1.3457	-0.8818	-0.4620	0.2050	-6.4630
56.4500	30.4751	-0.0001	0.0000	0.8800	6.6519	-0.8812	0.0316	8.4056	4.8982	-4.6454	0.6156	0.9143	-2.0895	-0.8213	1.4388	-5.8456
56.5000	30.5191	-0.0001	0.0000	0.8720	6.6967	-0.8715	-0.0132	8.4310	4.9624	-11.4059	1.6275	-0.0825	0.7253	-0.4863	0.9493	-5.5912
56.5500	30.5627	-0.0001	0.0000	0.8720	6.6302	-0.8119	-0.0515	8.2459	5.0145	-7.8527	1.8949	-0.4650	0.6454	-0.4669	0.5429	-6.3781
56.6000	30.6063	-0.0001	0.0000	0.8720	6.6528	-0.8289	-0.0040	8.3023	5.0033	-1.3063	-2.1519	-0.2155	-1.3525	-0.3358	0.0581	-7.4996
56.6500	30.6499	-0.0001	0.0000	0.8720	6.5955	-0.8591	0.0916	8.3050	4.8859	-2.5549	-3.2114	-0.6429	-1.0328	0.3440	0.4401	-6.1990
56.7000	30.6935	-0.0001	0.0000	0.8640	6.5630	-0.8109	-0.0214	8.1767	4.9493	-6.8430	-1.4178	-2.1608	0.1571	0.3683	0.3568	-5.5582
56.7500	30.7367	-0.0001	0.0000	0.8800	6.6505	-0.8640	-0.1405	8.3698	4.9312	-5.0308	0.0071	-1.0072	-2.3203	0.2080	-0.6714	-6.9483
56.8000	30.7807	-0.0001	0.0000	0.8640	6.6168	-0.8718	-0.0690	8.3517	4.8819	-2.3587	0.3231	0.0072	-1.5745	0.3537	-0.8182	-6.5383
56.8500	30.8239	-0.0001	0.0000	0.8780	6.6269	-0.9031	0.0687	8.4241	4.8297	-3.9070	-1.3188	-1.0794	0.0860	-0.4281	-0.2062	-5.4216
56.9000	30.8678	-0.0001	0.0000	0.8700	6.6045	-0.8281	0.0299	8.2524	4.9566	-6.1545	-1.8990	0.2590	0.1837	0.7907	0.3764	-7.1367
56.9500	30.9113	-0.0001	0.0000	0.8720	6.6477	-0.8498	0.0021	8.3387	4.9566	-5.3340	-0.3126	-2.7280	-0.3757	-0.4329	1.0716	-7.1226
57.0000	30.9549	-0.0001	0.0000	0.8660	6.7269	-0.8728	-0.0362	8.4639	4.9900	-9.0763	1.9159	0.5394	-1.6987	-0.9912	1.0814	-6.1614
57.0500	30.9982	-0.0001	0.0000	0.8800	6.5565	-0.9101	-0.0313	8.3676	4.7453	-8.5982	-0.0459	0.6267	0.2636	-0.6173	1.2577	-7.5515
57.1000	31.0422	-0.0001	0.0000	0.8720	6.5553	-0.8729	-0.0291	8.2924	4.8182	-6.9536	-0.1867	-1.6482	-2.0450	0.3148	0.5673	-6.2037
57.1500	31.0858	-0.0001	0.0000	0.8700	6.6198	-0.8956	0.0190	8.4021	4.8375	-4.9166	-2.8055	-0.7480	-0.2159	-0.0639	0.2197	-6.4582
57.2000	31.1293	-0.0001	0.0000	0.8720	6.6205	-0.8094	0.0228	8.2312	5.0098	-4.4885	-1.5171	-1.5842	0.6631	0.6984	-0.8084	-6.6844
57.2500	31.1729	-0.0001	0.0000	0.8720	6.6690	-0.8295	-0.0788	8.3197	5.0183	-4.7704	-0.6287	-2.0845	1.9951	0.2663	-0.2551	-6.0106
57.3000	31.2165	-0.0001	0.0000	0.8720	6.6099	-0.8694	0.0354	8.3400	4.8799	-3.1543	2.0973	0.3250	-1.6277	-0.5106	-0.1132	-6.9153
57.3500	31.2601	-0.0001	0.0000	0.8720	6.6075	-0.8256	0.0621	8.2505	4.9646	-4.2851	-0.2951	-0.3781	-1.1838	-0.5106	-0.6321	-6.2084
57.4000	31.3037	-0.0001	0.0000	0.8660	6.6461	-0.8735	0.0873	8.3844	4.9078	-6.3401	-1.4154	0.6521	0.6898	-0.4086	-0.0741	-6.5430
57.4500	31.3470	-0.0001	0.0000	0.8780	6.5816	-0.8538	-0.0717	8.2806	4.8826	-5.6158	-0.7421	-1.0723	-2.4180	0.7761	0.5037	-6.3970
57.5000	31.3909	-0.0001	0.0000	0.8720	6.5931	-0.7912	-0.0619	8.1676	5.0186	-3.1400	-1.0184	-1.6540	-0.5533	-0.0056	1.0030	-6.8635
57.5500	31.4345	-0.0001	0.0000	0.8720	6.6910	-0.7946	-0.1132	8.2722	5.1098	-5.0057	-2.2477	-0.9844	1.0894	-1.0009	0.3519	-6.1943
57.6000	31.4781	-0.0001	0.0000	0.8740	6.5781	-0.8838	0.0600	8.3369	4.8193	-6.7610	-1.2038	0.7484	-1.2548	-0.7631	0.6359	-7.1038
57.6500	31.5218	-0.0001	0.0000	0.8720	6.6055	-0.8115	0.0993	8.2203	4.9907	-5.5373	1.3255	-1.1112	0.0682	0.1983	0.7142	-7.1886
57.7000	31.5654	-0.0001	0.0000	0.8640	6.6595	-0.8748	-0.0105	8.4004	4.9187	-4.2210	-0.0011	-0.3409	-2.0628	-0.2533	-0.1572	-5.5723
57.7500	31.6086	-0.0001	0.0000	0.8780	6.6330	-0.8569	0.0004	8.3383	4.9277	-3.8642	-2.2675	0.0360	-0.0561	-0.1027	-0.5636	-7.0331
57.8000	31.6525	-0.0001	0.0000	0.8720	6.6147	-0.7954	-0.0269	8.1976	5.0318	-5.4161	0.2086	-1.4266	-2.9419	-0.2436	-0.8231	-7.0048
57.8500	31.6961	-0.0001	0.0000	0.8720	6.6346	-0.7994	-0.0930	8.2253	5.0438	-3.9498	-1.6352	-1.2512	0.8230	-0.4912	-0.7007	-5.8503
57.9000	31.7397	-0.0001	0.0000	0.8640	6.6364	-0.8451	0.0392	8.3180	4.9547	-3.0044	-0.6208	0.5651	0.9562	-0.7388	-1.0141	-6.2179
57.9500	31.7829	-0.0001	0.0000	0.8780	6.6543	-0.8412	0.0621	8.3283	4.9803	-4.6277	-0.9215	-1.3335	-0.2337	0.1789	0.9737	-6.9247
58.0000	31.8268	-0.0001	0.0000	0.8720	6.6251	-0.8165	0.0299	8.2500	5.0002	-7.8527	-0.4645	0.2977	-1.3702	0.2954	0.5576	-6.0059
58.0500	31.8704	-0.0001	0.0000	0.8700	6.6413	-0.8535	-0.0269	8.3398	4.9429	-8.0096	-0.4304	-1.5797	-1.3791	0.3100	0.2246	-6.4158
58.1000	31.9139	-0.0001	0.0000	0.8740	6.6175	-0.8237	-0.0225	8.2568	4.9783	-5.1949	-1.5966	-2.0280	-1.0772	-0.7825	1.5319	-6.3640
58.1500	31.9576	-0.0001	0.0000	0.8720	6.5598	-0.7674	0.0447	8.0868	5.0327	-6.0119	1.6659	0.7986	-0.8818	0.1692	0.5527	-6.6326
58.2000	32.0012	-0.0001	0.0000	0.8740	6.5883	-0.8963	-0.0580	8.3720	4.8046	-10.6960	-1.9593	-0.3626	0.3879	0.0283	0.8611	-6.3451
58.2500	32.0449	-0.0001	0.0000	0.8720	6.6460	-0.8545	-0.0056	8.3465	4.9454	-7.3282	-2.8261	0.2995	-1.4413	0.0235	-0.3873	-6.6232
58.3000	32.0885	-0.0001	0.0000	0.8700	6.6790	-0.8070	-0.0427	8.2850	5.0731	-1.7344	3.1741	-0.6075	0.6543	-0.8407	-0.4167	-7.3582
58.3500	32.1320	-0.0001	0.0000	0.8720	6.6420	-0.8321	0.0026	8.2978	4.9862	-2.6513	2.2993	-0.9370	0.4323	0.2760	-0.0446	-7.0991
58.4000	32.1756	-0.0001	0.0000	0.8740	6.6739	-0.8413	0.1277	8.3481	4.9998	-9.3332	-1.8820	-3.1529	-0.4468	-0.1804	-1.6310	-5.8644
58.4500	32.2193	-0.0001	0.0000	0.8720	6.6440	-0.7578	0.2009	8.1520	5.1360	-7.1427	-3.1103	1.1994	0.1659	0.0429	-0.9553	-5.9305
58.5000	32.2629	-0.0001	0.0000	0.8700	6.6055	-0.7989	-0.0127	8.1954	5.0156	-0.0077	1.4789	-0.8756	-0.9973	0.1838	0.4597	-5.1576
58.5500	32.3064	-0.0001	0.0000	0.8720	6.6377	-0.8628	-0.3066	8.3546	4.9208	-2.1696	2.6861	-0.8645	-1.4857	-0.3407	0.7045	-6.1943
58.6000	32.3500	-0.0001	0.0000	0.8640	6.6642	-0.8477	-0.0799	8.3512	4.9772	-12.9899	0.3759	-1.2055	-1.7343	-0.5251	0.4743	-6.1849
58.6500	32.3932	-0.0001	0.0000	0.8800	6.6247	-0.7829	0.1321	8.1826	5.0668	-10.1573	-3.9574	-0.3955	0.4500	-0.6029	1.0961	-4.8325
58.7000	32.4372	-0.0001	0.0000	0.8640	6.6974	-0.8291	0.0469	8.3474	5.0475	0.9091	-2.6288	0.8316	-1.6011	0.6790	1.0961	-6.5101
58.7500	32.4804	-0.0001	0.0000	0.8800	6.5816	-0.8171	-0.0995	8.2076	4.9556	-3.2970	2.4609	-1.3677	0.7431	0.6498	0.6016	-6.0812
58.8000	32.5244	-0.0001	0.0000	0.8720	6.6586	-0.8203	-0.0914	8.2910	5.0262	-15.4050	2.0270	0.4242	-1.5656	-0.1027	0.2246	-5.7184
58.8500	32.5680	-0.0001	0.0000	0.8720	6.6663	-0.8085	-0.0291	8.2752	5.0574	-10.1180	0.7913	-1.1889	0.6010	-0.3454	-0.7154	-5.8739
58.9000	32.6116	-0.0001	0.0000	0.8700	6.6073	-0.8266	-0.0247	8.2523	4.9623	2.8963	-3.6616	0.8239	-1.1127	-0.2484	-0.9945	-5.9257
58.9500	32.6551	-0.0001	0.0000	0.8720	6.6683	-0.8781	0.0119	8.4157	4.9209	-1.6524	-0.7989	-1.8027	0.0149	0.8489	-1.0434	-5.8268
59.0000	32.6987	-0.0001	0.0000	0.8740	6.6638	-0.8037	-0.0389	8.2630	5.0645	-12.4012	0.3209	-0.7537	0.4856	-0.4135	0.1560	-6.9247
59.0500	32.7424	-0.0001	0.0000	0.8700	6.6721	-0.7939	-0.0176	8.2519	5.0924	-8.5269	1.0239	-0.0880	-1.1039	-0.6611	0.6016	-6.6938
59.1000	32.7859	-0.0001	0.0000	0.8720	6.6838	-0.8363	0.0807	8.3481	5.0195	5.3008	-1.2396	-1.4510	-0.0561	-0.1852	0.5967	-5.4922
59.1500	32.8295	-0.0001	0.0000	0.8720	6.6080	-0.8407	0.0654	8.2810	4.9350	-1.7879	-3.2283	-1.3621	0.4412	0.0139	1.4339	-6.7692
59.2000	32.8731	-0.0001	0.0000	0.8720	6.5854	-0.8726	0.0469	8.3218	4.8489	-14.7450	0.9471	0.6231	-0.6421	-0.4086	1.4682	-5.5157
59.2500	32.9167	-0.0001	0.0000	0.8720	6.6694	-0.8186	-0.1323	8.2984	5.0405	-8.5911	0.0325	-1.3756	-1.5833	-0.0784	0.2442	-6.0294
59.3000	32.9603	-0.0001	0.0000	0.8720	6.6115	-0.8214	-0.0373	8.2461	4.9770	3.8131	0.8812	-0.6505	-0.7664	-0.0299	0.5771	-6.9200
59.3500	33.0039	-0.0001	0.0000	0.8720	6.7141	-0.8265	0.0785	8.3588	5.0695	-3.9034	-2.4064	-1.0567	-1.2104	-0.1319	-0.3433	-5.1954
59.4000	33.0475	-0.0001	0.0000	0.8720	6.6637	-0.7603	0.0731	8.1767	5.1507	-16.4932	-0.5503	0.0445	-1.6011	-0.2387	-1.2099	-3.2257
59.4500	33.0911	-0.0001	0.0000	0.8720	6.6608	-0.8525	0.0518	8.3573	4.9643	-8.6911	0.3801	0.3165	-2.3026	0.6936	-0.6321	-4.1728
59.5000	33.1347	-0.0001	0.0000	0.8640	6.5815	-0.7780	-0.0684	8.1298	5.0332	5.4684	0.0464	-2.6267	0.3701	0.1060	-1.2099	-2.4387
59.5500	33.1779	-0.0001	0.0000	0.8820	6.6526	-0.7587	-0.0296	8.1623	5.1428	-2.7369	1.0679	0.2084	0.3346	-0.9184	-0.1181	-5.0163
59.6000	33.2220	-0.0001	0.0000	0.8640	6.6420	-0.7792	-0.0132	8.1927	5.0913	-12.7544	0.9964	-0.4805	0.2192	0.2129	1.1499	-6.6702
59.6500	33.2652	-0.0001	0.0000	0.8780	6.6345	-0.8228	0.0720	8.2719	4.9970	-4.7525	-0.0581	-0.6501	0.1659	0.4265	2.2075	-6.6608
59.7000	33.3091	-0.0001	0.0000	0.8720	6.6493	-0.8584	0.0534	8.3575	4.9411	5.0617	0.6615	-1.7384	-0.6510	-0.0396	0.3568	-5.1717
59.7500	33.3527	-0.0001	0.0000	0.8700	6.5895	-0.7903	-0.0684	8.1622	5.0168	-3.1756	0.4466	-0.4892	0.0061	-0.3503	0.6750	-3.9749
59.8000	33.3962	-0.0001	0.0000	0.8720	6.6047	-0.8533	0.0234	8.3029	4.9066	-13.8497	0.0154	-1.6736	-1.3880	-0.4863	-0.1768	-5.8550
59.8500	33.4398	-0.0001	0.0000	0.8720	6.6284	-0.8265	0.0305	8.2732	4.9836	-7.7314	0.5075	0.5264	0.0416	-0.1804	-0.4510	-6.8493
59.9000	33.4834	-0.0001	0.0000	0.8740	6.6730	-0.8490	-0.0788	8.3625	4.9834	1.2017	1.2171	-1.0777	0.0327	-0.1270	-1.5575	-5.1058
59.9500	33.5271	-0.0001	0.0000	0.8720	6.6224	-0.8765	-0.0154	8.3666	4.8783	-6.3650	-0.1845	0.3494	0.7519	-0.1610	-0.7056	-5.2425
60.0000	33.5707	-0.0001	0.0000	0.8700	6.6853	-0.8038	-0.0094	8.2848	5.0858	-13.0683	-0.0505	-2.9472	-1.7609	-0.7193	-0.6762	-6.8399
60.0500	33.6142	-0.0001	0.0000	0.8720	6.6251	-0.7899	0.0479	8.1970	5.0532	-7.0963	-0.1313	-0.0478	-2.9330	-0.1949	0.5477	-5.5063
60.1000	33.6578	-0.0001	0.0000	0.8720	6.6134	-0.8760	-0.0449	8.3566	4.8701	-1.3991	0.6041	0.0316	-0.0650	-0.7000	1.0423	-6.8399
60.1500	33.7014	-0.0001	0.0000	0.8740	6.6152	-0.8061	0.0119	8.2193	5.0111	-5.3554	0.2949	-0.7794	0.0860	-0.3843	1.4829	-6.8541
60.2000	33.7451	-0.0001	0.0000	0.8720	6.6508	-0.8282	0.0146	8.2989	5.0027	-9.1334	-0.3808	-1.8679	-1.3435	0.6208	0.7045	-4.0786
60.2500	33.7887	-0.0001	0.0000	0.8720	6.6610	-0.7821	0.0163	8.2173	5.1046	-4.9344	-2.2122	-0.8370	-2.2137	0.0721	0.0728	-3.4282
60.3000	33.8323	-0.0001	0.0000	0.8700	6.5812	-0.8149	-0.0558	8.2028	4.9596	0.6237	1.3066	-0.1180	-2.4535	-0.5009	-1.3519	-2.8627
60.3500	33.8758	-0.0001	0.0000	0.8720	6.6200	-0.7785	-0.0220	8.1693	5.0708	-4.6383	-0.6728	0.5137	-0.1271	0.0526	-1.1364	-2.8817
60.4000	33.9194	-0.0001	0.0000	0.8720	6.6389	-0.8122	0.0414	8.2551	5.0227	-9.7434	-1.0975	-1.2826	-1.5745	0.0867	-0.9651	-3.1550
60.4500	33.9630	-0.0001	0.0000	0.8740	6.6809	-0.8601	0.0348	8.3925	4.9694	-8.6553	-0.1538	-0.1825	-3.0129	-0.0250	0.6898	-3.1973
60.5000	34.0067	-0.0001	0.0000	0.8640	6.6644	-0.7814	0.0103	8.2195	5.1094	-3.2113	0.6407	-0.2695	-1.9208	-0.3358	1.5759	-3.4047
60.5500	34.0499	-0.0001	0.0000	0.8780	6.6584	-0.8734	-0.0056	8.3965	4.9203	-6.0975	0.7840	0.6870	-0.8908	-0.3843	1.6934	-2.5330
60.6000	34.0938	-0.0001	0.0000	0.8720	6.6597	-0.8492	0.0720	8.3497	4.9697	-10.6139	-0.5640	-2.8357	-0.7664	0.3974	1.5220	-3.3388
60.6500	34.1374	-0.0001	0.0000	0.8720	6.6995	-0.8581	0.0709	8.4072	4.9918	-8.4127	-1.1664	-0.8164	0.4057	-0.2629	0.2295	-5.0257
60.7000	34.1810	-0.0001	0.0000	0.8720	6.6223	-0.9129	-0.0608	8.4390	4.8055	-3.4753	0.7855	-0.1828	-0.2870	-0.2338	-1.7485	-5.8032
60.7500	34.2246	-0.0001	0.0000	0.8720	6.6297	-0.8626	-0.0739	8.3463	4.9131	-4.2637	-1.4107	-1.1420	-0.7043	-0.5591	-1.6847	-6.7127
60.8000	34.2682	-0.0001	0.0000	0.8660	6.6169	-0.8258	-0.0220	8.2603	4.9735	-7.6029	0.8710	-1.1663	-0.1005	-0.6757	-0.6224	-6.1095
60.8500	34.3115	-0.0001	0.0000	0.8780	6.6391	-0.8993	0.0310	8.4287	4.8495	-5.3983	-0.4914	0.2993	-2.6933	-0.6271	0.6799	-6.8211
60.9000	34.3554	-0.0001	0.0000	0.8720	6.5997	-0.7993	0.0621	8.1903	5.0091	-1.3705	-0.2484	-0.1634	-0.6865	-0.5203	1.4780	-4.2859
60.9500	34.3990	-0.0001	0.0000	0.8720	6.6910	-0.8096	-0.0367	8.3021	5.0799	-2.5656	0.7592	0.2128	0.5566	0.1449	1.9186	-5.4545
61.0000	34.4426	-0.0001	0.0000	0.8720	6.5977	-0.8619	-0.0253	8.3129	4.8826	-7.0143	0.7713	0.2529	-1.9208	-0.6271	1.6885	-6.1849
61.0500	34.4862	-0.0001	0.0000	0.8720	6.6210	-0.8353	0.0032	8.2832	4.9588	-5.6479	0.0881	-1.4332	-1.8053	-0.8748	0.3568	-5.5770
61.1000	34.5298	-0.0001	0.0000	0.8720	6.6726	-0.7931	0.0157	8.2509	5.0944	-1.8735	-2.0436	-1.4855	-0.6510	-0.5883	-0.4902	-6.4582
61.1500	34.5734	-0.0001	0.0000	0.8700	6.6886	-0.8808	-0.0242	8.4414	4.9359	-6.5184	1.0718	-0.3219	-2.3825	-0.6854	-1.7729	-7.1651
61.2000	34.6169	-0.0001	0.0000	0.8720	6.5903	-0.8372	-0.0482	8.2563	4.9243	-10.0003	-0.1100	0.5353	-1.6366	-0.3892	-1.6701	-5.0870
61.2500	34.6605	-0.0001	0.0000	0.8720	6.6402	-0.8703	-0.0482	8.3722	4.9083	-6.0403	0.3368	-2.4805	-0.9529	-0.0153	-0.6910	-6.2603
61.3000	34.7041	-0.0001	0.0000	0.8720	6.5835	-0.8478	0.0081	8.2707	4.8964	-2.6370	-1.5590	-1.1197	-2.1250	-0.4474	0.9688	-5.6241
61.3500	34.7477	-0.0001	0.0000	0.8720	6.6694	-0.8390	0.0638	8.3391	4.9998	-4.9451	0.4441	-0.8289	-0.4823	-0.6173	1.5416	-5.5441
61.4000	34.7913	-0.0001	0.0000	0.8720	6.6576	-0.7870	-0.0121	8.2237	5.0915	-6.6290	-0.5186	0.7222	-1.3613	0.1109	1.7081	-7.2498
61.4500	34.8349	-0.0001	0.0000	0.8720	6.6432	-0.8451	-0.0362	8.3249	4.9615	-3.0615	-0.3081	-0.3909	-1.3525	0.1400	0.9884	-7.2075
