time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
1.9500	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.4758	0.1027	0.2710	-0.1854	-0.6143
1.9750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2325	0.6320	-0.2578	0.1680	1.2929
2.0000	14.9979	0.0001	0.0000	0.0000	-0.0000	2.0938	-0.1497	-0.6494	-0.1194	-0.2366
2.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4102	-0.2663	-0.2333	0.0597	0.4909
2.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1847	0.0590	-0.1794	0.2246	1.9831
2.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1758	0.3941	-0.2529	-0.6189	0.9152
2.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0016	-0.2129	-0.5662	-0.2890	0.4023
2.1250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7210	-0.0284	0.1927	0.1586	0.9758
2.1500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6411	-0.0089	0.4571	0.6298	-0.0687
2.1750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2147	0.7145	-0.1011	0.1256	0.2158
2.2000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4990	-0.2371	0.7165	-0.3126	-0.2039
2.2250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6855	-0.4702	0.2465	0.3235	0.3976
2.2500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.5699	-0.6450	-0.6152	-1.0194	-0.0594
2.2750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4635	0.4426	0.7655	0.3000	0.7847
2.3000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2449	0.2144	-0.2773	0.1822	-0.9966
2.3250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0959	0.1853	-0.4732	-0.4257	-0.1293
2.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.0906	0.2435	0.0066	0.1728	-1.0386
2.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4067	0.5349	0.4375	-0.0299	-1.1179
2.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2682	0.1270	0.0605	0.2953	-0.7681
2.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	2.3069	0.0542	0.0997	0.7335	0.8499
2.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4333	0.0202	0.1780	0.4649	-1.9199
2.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2094	0.5349	0.4571	0.3283	0.3696
2.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.3656	0.4086	-0.3801	0.1775	0.0852
2.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3658	-0.3537	-0.0619	-0.1760	-0.9640
2.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.4988	-0.8829	0.4717	0.8984	-0.7029
2.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0637	-0.0672	-0.4389	0.1351	-0.2599
2.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4014	0.3746	-0.1109	-0.6519	0.9619
2.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4067	0.2872	0.6039	-1.3493	0.3044
2.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6375	0.4620	0.3983	-0.1147	-0.9174
2.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5523	0.0056	-0.0032	0.6440	-0.0920
2.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4688	0.9621	0.2074	0.5874	0.9292
2.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.5576	-0.0818	-0.1305	-0.0958	-0.3625
2.7500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4280	0.9136	0.5060	0.9503	0.0479
2.7750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2149	0.2193	0.0507	0.3471	1.2416
2.8000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1705	0.2193	-0.3312	0.0644	-0.1060
2.8250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.7974	0.1950	-0.3753	-0.5624	-1.6168
2.8500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4546	-0.3391	0.0507	-0.4257	0.1691
2.8750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9519	-0.5382	0.2612	0.4461	0.6075
2.9000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.7086	-0.2274	0.3689	0.7147	0.2857
2.9250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9164	0.2727	-0.6592	0.3424	-0.0547
2.9500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1580	-0.0915	0.7704	-0.0817	0.6121
2.9750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4990	-0.0138	0.2808	0.2576	-0.0500
3.0000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1705	-0.2857	-0.2431	0.4272	-0.4138
3.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.5788	-0.4702	0.4424	-0.5341	0.5795
3.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1794	0.5397	0.0801	0.3989	-0.0594
3.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.4511	0.5786	-0.5907	-0.7838	-1.0526
3.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6731	0.0785	-0.1794	-0.0581	1.3862
3.1250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0140	-0.8295	0.0360	0.7806	-0.0034
3.1500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1137	0.0930	0.4277	0.3141	0.6634
3.1750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0815	0.2435	0.1094	-0.1524	-0.1060
3.2000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1705	-0.5770	0.2955	0.5120	-0.1107
3.2250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5612	-0.0575	0.6235	0.1680	0.2484
3.2500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.8862	0.6951	-0.3459	-0.4728	0.1691
3.2750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0407	-0.1255	-0.2969	0.0832	0.1645
3.3000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.5310	-0.2420	0.2221	0.2010	1.3442
3.3250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6054	0.3261	0.3640	0.4979	3.1255
3.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0515	-0.6741	0.0360	0.4461	-0.2039
3.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0426	0.5834	-0.2773	-0.6048	-0.4184
3.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.9661	0.1610	-0.2969	0.5874	-0.3158
3.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.5843	-0.5625	1.1719	-0.2655	0.3044
3.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0160	-0.7907	-0.4291	0.5026	0.0665
3.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1117	-0.3197	-0.3557	0.5497	-0.2132
3.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2236	0.1319	-0.0276	0.3895	-0.1526
3.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2183	-0.0818	-0.2626	0.2764	-0.6003
3.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.0071	0.5397	-0.0815	-0.3079	-0.0360
3.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.0195	0.4038	0.3004	0.3518	-1.1412
3.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3978	-0.1886	0.1339	0.0644	-1.0153
3.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2060	0.1124	-0.1256	-0.4304	0.3090
3.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5612	0.1416	0.1976	-0.6990	1.3163
3.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3534	0.6660	-0.1060	-0.3079	-0.0733
3.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6322	0.0590	0.1584	0.6864	-0.1713
