time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
2.6000	3.9989	0.0001	0.0000	0.0000	-0.0531	-0.8854	0.0211	0.3634	-0.9211
2.6250	3.9989	0.0001	0.0000	0.0000	-1.3673	0.0856	-0.1062	0.3445	2.1519
2.6500	3.9989	0.0001	0.0000	0.0000	-0.4794	0.1440	-0.2090	-0.3765	-0.2356
2.6750	3.9989	0.0001	0.0000	0.0000	1.2699	0.0856	-0.7818	-0.1644	0.4779
2.7000	3.9989	0.0001	0.0000	0.0000	1.1278	0.8285	0.0994	-0.9561	-0.4314
2.7250	3.9989	0.0001	0.0000	0.0000	-0.1597	-0.2202	0.0652	-0.5790	-0.0957
2.7500	3.9989	0.0001	0.0000	0.0000	0.9325	-0.0066	-1.2323	-0.8665	-1.0003
2.7750	3.9989	0.0001	0.0000	0.0000	1.4030	-0.0212	-0.6741	-0.0278	0.7670
2.8000	3.9989	0.0001	0.0000	0.0000	-0.4528	0.5323	-0.2139	-0.5319	0.7950
2.8250	3.9989	0.0001	0.0000	0.0000	-1.4827	-0.8223	0.1973	-0.2634	-0.9397
2.8500	3.9989	0.0001	0.0000	0.0000	-1.1631	-0.1425	0.2952	0.5990	-0.4175
2.8750	3.9989	0.0001	0.0000	0.0000	-1.3495	0.4838	-0.4489	0.3775	1.0607
2.9000	3.9989	0.0001	0.0000	0.0000	0.4264	0.4159	0.0603	-0.3199	-0.5993
2.9250	3.9989	0.0001	0.0000	0.0000	0.2399	0.0711	0.4667	0.3303	0.5152
2.9500	3.9989	0.0001	0.0000	0.0000	-0.7014	-0.0066	-0.1698	0.4765	0.0022
2.9750	3.9989	0.0001	0.0000	0.0000	-0.7990	-0.5164	-0.1992	-0.3859	0.7390
3.0000	3.9989	0.0001	0.0000	0.0000	-0.4172	0.3188	0.4960	-0.5649	0.0535
3.0250	3.9989	0.0001	0.0000	0.0000	0.5240	-0.2882	0.3737	-0.1738	-1.9096
3.0500	3.9989	0.0001	0.0000	0.0000	0.1600	-0.2299	0.4421	0.0947	-0.7718
3.0750	3.9989	0.0001	0.0000	0.0000	-0.6836	0.6489	0.0260	-0.1691	-0.0910
3.1000	3.9989	0.0001	0.0000	0.0000	1.5895	-0.0600	-0.1601	0.0430	1.0188
3.1250	3.9989	0.0001	0.0000	0.0000	1.5985	-0.1086	0.9709	-0.4990	0.4732
3.1500	3.9989	0.0001	0.0000	0.0000	0.7904	0.6829	0.5743	-0.2068	0.2587
3.1750	3.9989	0.0001	0.0000	0.0000	-2.5572	0.4498	-0.1601	-0.5131	0.5571
3.2000	3.9989	0.0001	0.0000	0.0000	1.5274	0.0954	0.2463	-0.6262	0.4172
3.2250	3.9989	0.0001	0.0000	0.0000	-0.5682	0.2217	0.2219	-0.4094	0.4406
3.2500	3.9989	0.0001	0.0000	0.0000	1.3853	0.7023	-0.4391	-0.7299	-0.3988
3.2750	3.9989	0.0001	0.0000	0.0000	0.4707	-0.2105	-0.7133	0.4529	0.5711
3.3000	3.9989	0.0001	0.0000	0.0000	-0.9145	-0.6135	0.2561	0.4246	-0.7765
3.3250	3.9989	0.0001	0.0000	0.0000	-1.4384	-0.5650	-0.1796	0.1937	0.0395
3.3500	3.9989	0.0001	0.0000	0.0000	-0.8701	0.2847	-0.6105	-0.4188	0.4312
3.3750	3.9989	0.0001	0.0000	0.0000	-1.2341	-0.3950	-0.5175	0.2456	-0.9304
3.4000	3.9989	0.0001	0.0000	0.0000	0.7193	0.2362	-0.6105	0.2691	0.0675
3.4250	3.9989	0.0001	0.0000	0.0000	0.3642	0.1051	0.8437	0.1089	-1.2475
3.4500	3.9989	0.0001	0.0000	0.0000	0.8259	-0.3367	-0.5615	0.7639	-0.4081
3.4750	3.9989	0.0001	0.0000	0.0000	2.0957	0.4887	-0.2041	0.3021	0.3286
3.5000	3.9989	0.0001	0.0000	0.0000	1.1811	0.3867	0.1386	0.7027	0.1654
3.5250	3.9989	0.0001	0.0000	0.0000	-0.6747	-0.2639	-0.4733	0.2031	-0.1610
3.5500	3.9989	0.0001	0.0000	0.0000	-0.5504	-0.6620	-0.3706	-0.9608	-0.3102
3.5750	3.9989	0.0001	0.0000	0.0000	-1.3673	0.5858	-0.5419	-0.5414	-0.3382
3.6000	3.9989	0.0001	0.0000	0.0000	-0.8523	-0.5746	-0.6349	-0.6780	-0.8698
3.6250	3.9989	0.0001	0.0000	0.0000	0.9414	-0.3124	-0.4783	-0.5790	-1.6858
3.6500	3.9989	0.0001	0.0000	0.0000	0.6039	0.1585	0.8633	0.0241	-0.1703
3.6750	3.9989	0.0001	0.0000	0.0000	-0.5682	0.7606	-0.9629	-0.1456	1.8395
3.7000	3.9989	0.0001	0.0000	0.0000	0.5951	-0.2153	-0.2481	-0.6921	-0.4408
3.7250	3.9989	0.0001	0.0000	0.0000	0.3908	0.1245	0.6282	-0.0042	0.7390
3.7500	3.9989	0.0001	0.0000	0.0000	1.0745	0.1633	-0.3167	-0.0749	0.2400
3.7750	3.9989	0.0001	0.0000	0.0000	0.0889	0.3867	0.7506	0.3634	-0.7485
3.8000	3.9989	0.0001	0.0000	0.0000	-0.2573	-0.4095	-0.0670	-0.9136	-3.0148
3.8250	3.9989	0.0001	0.0000	0.0000	0.5152	-0.2396	-0.4000	-0.1362	0.0862
3.8500	3.9989	0.0001	0.0000	0.0000	-0.3639	-0.1425	0.5303	-0.0042	-1.3827
3.8750	3.9989	0.0001	0.0000	0.0000	1.6606	0.6392	0.6185	-0.4990	0.0815
3.9000	3.9989	0.0001	0.0000	0.0000	-0.0620	-0.3416	0.4177	0.0147	-0.9164
3.9250	3.9989	0.0001	0.0000	0.0000	-1.0565	-0.0891	-0.4587	0.0759	0.4126
3.9500	3.9989	0.0001	0.0000	0.0000	-0.3550	-0.1231	-0.1355	0.2173	-0.1190
3.9750	3.9989	0.0001	0.0000	0.0000	-0.0177	0.5615	-0.8993	-0.1974	0.2307
4.0000	3.9989	0.0001	0.0000	0.0000	1.1544	-0.0066	-0.3901	0.7262	0.0395
4.0250	3.9989	0.0001	0.0000	0.0000	-0.6481	-0.1231	0.2952	-0.8477	0.1887
4.0500	3.9989	0.0001	0.0000	0.0000	0.4441	-0.9194	0.1582	0.3445	-2.1941
4.0750	3.9989	0.0001	0.0000	0.0000	0.9325	0.1245	-0.0915	0.7309	-0.3848
4.1000	3.9989	0.0001	0.0000	0.0000	-0.9233	-0.2153	0.4324	0.2739	-1.4853
4.1250	3.9989	0.0001	0.0000	0.0000	-1.7669	-0.3659	-0.2432	0.3869	0.0862
4.1500	3.9989	0.0001	0.0000	0.0000	0.6750	-0.6863	-0.6398	-0.6686	0.2307
4.1750	3.9989	0.0001	0.0000	0.0000	-0.6036	0.4110	-0.3070	-0.2351	1.2706
4.2000	3.9989	0.0001	0.0000	0.0000	-0.5504	-0.3124	0.4667	-0.1220	-0.1330
4.2250	3.9989	0.0001	0.0000	0.0000	-1.1365	-0.2396	0.0554	-0.6403	1.3265
4.2500	3.9989	0.0001	0.0000	0.0000	1.1722	-0.1571	-0.1111	-0.9514	0.4406
4.2750	3.9989	0.0001	0.0000	0.0000	0.1245	0.5033	-0.3314	0.1089	-0.2496
4.3000	3.9989	0.0001	0.0000	0.0000	-0.3462	-0.3222	0.4274	-0.0042	0.3147
4.3250	3.9989	0.0001	0.0000	0.0000	0.4797	-0.4727	0.2659	-0.7063	0.2773
