# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
3.9500	0.0025	-0.0001	0.0000	0.0000	-0.0609	0.0320	-0.0601	-0.1247	0.0028	0.1251	-0.4068	0.6040	-1.0773	-0.1787	-0.2836	-0.0453
4.0000	0.0025	-0.0001	0.0000	0.0000	0.0135	0.0392	0.0191	-0.0646	0.0917	0.2071	1.6338	0.5666	1.1869	0.1126	0.2256	0.1668
4.0500	0.0025	-0.0001	0.0000	0.0000	-0.0243	-0.0014	0.0437	-0.0215	-0.0271	-0.2531	1.0480	1.2530	0.7341	-0.2515	-0.8417	-0.2479
4.1000	0.0025	-0.0001	0.0000	0.0000	0.0665	-0.0105	0.0508	0.0873	0.0456	-0.2566	0.9549	0.4023	1.3291	-0.4944	0.3187	0.4307
4.1500	0.0025	-0.0001	0.0000	0.0000	0.0172	-0.0147	0.0295	0.0464	-0.0120	-0.1960	0.4671	0.9608	1.6132	0.0980	-0.1465	-0.9359
4.2000	0.0025	-0.0001	0.0000	0.0000	-0.0335	-0.0350	-0.0054	0.0361	-0.1031	-0.0176	0.9419	0.3895	-1.1749	-0.0331	-0.1856	0.6286
4.2500	0.0025	-0.0001	0.0000	0.0000	-0.0466	-0.0372	-0.0530	0.0275	-0.1207	0.1108	0.2446	0.3758	0.4322	0.0592	0.3774	-0.5636
4.3000	0.0025	-0.0001	0.0000	0.0000	-0.0416	-0.0577	0.0197	0.0731	-0.1564	0.2143	0.7233	0.5109	-0.6866	-0.1059	0.1375	-0.2149
4.3500	0.0025	-0.0001	0.0000	0.0000	0.0615	0.0154	0.0170	0.0308	0.0922	0.0003	0.4987	0.4018	-0.8198	0.3651	-0.1220	-0.2149
4.4000	0.0025	-0.0001	0.0000	0.0000	0.0766	0.0044	0.0339	0.0678	0.0853	0.0608	-1.3621	-0.1421	0.1125	-0.6449	0.0346	0.5437
4.4500	0.0025	-0.0001	0.0000	0.0000	0.0152	-0.0007	0.0126	0.0165	0.0138	0.3463	1.1605	0.2680	0.9827	0.4622	0.3823	-0.1819
4.5000	0.0025	-0.0001	0.0000	0.0000	-0.0066	0.0344	0.0208	-0.0752	0.0619	-0.3493	-1.4880	0.0148	1.5244	0.5981	-0.3178	0.1856
4.5500	0.0025	-0.0001	0.0000	0.0000	0.0180	0.0337	-0.0459	-0.0491	0.0852	-0.2031	1.4119	0.3757	-1.1661	-0.2953	0.4067	-0.7144
4.6000	0.0025	-0.0001	0.0000	0.0000	0.0005	-0.0072	0.0099	0.0148	-0.0138	-0.5277	0.4908	0.6468	1.5066	0.5981	-0.0486	0.6804
4.6500	0.0025	-0.0001	0.0000	0.0000	-0.0235	-0.0413	0.0448	0.0587	-0.1057	-0.1674	1.1744	0.2536	-1.4147	-0.5865	-0.5480	0.5532
4.7000	0.0025	-0.0001	0.0000	0.0000	0.0437	-0.0234	0.0180	0.0903	-0.0029	0.2143	-1.1692	-0.7105	-0.6244	0.0106	0.0101	-0.2196
4.7500	0.0025	-0.0001	0.0000	0.0000	0.0023	-0.0278	0.0230	0.0576	-0.0530	-0.2424	-0.4447	0.1169	1.6931	0.5350	0.1913	-0.8039
4.8000	0.0025	-0.0001	0.0000	0.0000	-0.0339	-0.0399	-0.0568	0.0454	-0.1133	0.1430	-0.1254	-0.2142	-0.1183	-0.0380	-0.4158	0.2516
4.8500	0.0025	-0.0001	0.0000	0.0000	0.0262	-0.0111	-0.0333	0.0482	0.0042	0.5746	-0.0957	0.9392	0.5654	0.3069	-0.0143	0.2092
4.9000	0.0025	-0.0001	0.0000	0.0000	0.0227	0.0103	0.0257	0.0023	0.0431	0.0002	1.2533	0.3034	-1.5124	-0.3099	-0.2102	0.3411
4.9500	0.0025	-0.0001	0.0000	0.0000	0.0503	0.0359	-0.0508	-0.0211	0.1218	0.0680	-0.0709	1.4134	0.5831	-0.1544	-0.0780	-0.5872
