time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
2.7000	0.0041	-0.0001	0.0100	0.0000	0.0515	0.0288	0.0312	-0.0058	0.1088	-0.1205	0.5964	0.4470	1.5099	-0.2016	0.4169	0.2538
2.7500	0.0041	-0.0001	0.0100	0.0000	0.0142	0.0214	0.0143	-0.0284	0.0568	0.0507	-0.7256	-1.8133	-0.4791	0.2451	-0.5917	0.3386
2.8000	0.0041	-0.0001	0.0100	0.0000	0.0117	-0.0294	-0.0087	0.0702	-0.0468	-0.2561	-0.1236	-0.5166	-1.1184	-0.1772	0.0399	0.6544
2.8500	0.0041	-0.0001	0.0100	0.0000	-0.0304	-0.0236	-0.0229	0.0164	-0.0773	-0.0706	0.8032	1.1008	-0.1860	-0.1432	-0.5524	-0.0808
2.9000	0.0041	-0.0001	0.0100	0.0000	-0.0179	-0.0167	-0.0212	0.0154	-0.0512	-0.3916	-1.7924	-0.3650	0.9771	0.5754	0.5687	0.0276
2.9500	0.0041	-0.0001	0.0100	0.0000	-0.0301	0.0111	0.0334	-0.0521	-0.0080	0.1863	-0.7164	-1.2703	1.2613	0.1335	-0.2000	-0.2787
3.0000	0.0041	-0.0001	0.0100	0.0000	0.0155	0.0809	-0.0404	-0.1454	0.1764	-0.3667	0.8215	-0.2864	0.4710	0.0121	-0.8561	0.4376
3.0500	0.0041	-0.0001	0.0100	0.0000	-0.0447	-0.0062	0.0072	-0.0323	-0.0571	0.1256	0.8573	0.6764	0.4710	-0.3666	-0.5280	0.6591
3.1000	0.0041	-0.0001	0.0100	0.0000	0.0095	-0.0045	-0.0491	0.0185	0.0006	0.2041	-0.9078	-0.3351	-0.4969	0.0364	-0.7630	0.4188
3.1500	0.0041	-0.0001	0.0100	0.0000	0.0496	0.0469	-0.0267	-0.0437	0.1429	0.2719	0.1278	0.8277	-0.8076	-0.3423	0.1134	-0.0478
3.2000	0.0041	-0.0001	0.0100	0.0000	0.0295	-0.0059	-0.0409	0.0412	0.0178	-0.4166	1.0789	0.0519	-1.0562	0.4977	0.1378	-0.5379
3.2500	0.0041	-0.0001	0.0100	0.0000	0.0128	-0.0127	-0.0513	0.0380	-0.0124	0.1364	-0.3672	-0.8694	-1.3937	0.0995	-0.1118	-0.2033
3.3000	0.0041	-0.0001	0.0100	0.0000	-0.0023	0.0150	-0.0535	-0.0322	0.0276	0.4396	0.6951	0.7130	0.8883	-0.4248	0.9310	0.1642
3.3500	0.0041	-0.0001	0.0100	0.0000	0.0213	-0.0188	-0.0480	0.0588	-0.0162	-0.3524	-0.4958	1.0271	0.3200	0.7453	-0.4987	0.5223
3.4000	0.0041	-0.0001	0.0100	0.0000	0.0286	0.0372	-0.0535	-0.0455	0.1026	-0.4095	-0.6254	-1.1805	1.2080	-0.0704	0.1231	-0.4389
3.4500	0.0041	-0.0001	0.0100	0.0000	-0.0292	0.0009	-0.0354	-0.0309	-0.0275	0.2112	0.9530	0.2088	0.2757	-0.3083	0.6764	-0.3729
